Block,Date,USDN Price,USDN TVL,LUSD Price,LUSD TVL,BUSD Price,BUSD TVL,USDP Price,USDP TVL
12634108,2021-06-14 18:16:33,1.0412,122107228,1.0375,56636099,1.0148,42076293,1.0154,55593537
12640467,2021-06-15 17:42:46,1.0423,130143744,1.0382,57855233,1.0149,40660593,1.0157,54924834
12646826,2021-06-16 17:20:24,1.0432,131254402,1.0386,63897629,1.0157,42441397,1.0162,54218150
12653185,2021-06-17 17:11:49,1.0438,134586621,1.0391,68760305,1.016,43000005,1.0167,43995911
12659544,2021-06-18 16:43:23,1.0444,141862768,1.0393,68711061,1.0163,42002023,1.0167,41413052
12665903,2021-06-19 16:34:57,1.0445,138825942,1.0395,65386564,1.0166,39473684,1.0174,41805702
12672262,2021-06-20 16:30:31,1.0451,139467822,1.0399,65234346,1.0168,39946458,1.0176,41979914
12678621,2021-06-21 16:09:38,1.0458,138628504,1.0399,64890174,1.017,38855153,1.018,41484891
12684980,2021-06-22 16:03:31,1.0459,135310338,1.0405,59451282,1.0173,40002866,1.0181,39502861
12691339,2021-06-23 16:02:20,1.0471,208611766,1.0406,61266160,1.0175,40985813,1.0191,41823814
12697698,2021-06-24 15:41:53,1.0471,206079162,1.0411,61078272,1.0176,39489994,1.0191,41250083
12704057,2021-06-25 15:30:00,1.0477,199258666,1.0411,60918212,1.0176,38685013,1.0197,41013894
12710416,2021-06-26 15:19:44,1.0482,196650717,1.0417,58732302,1.018,36850949,1.02,40622978
12716775,2021-06-27 15:05:18,1.0483,191349543,1.0418,53725706,1.018,33999956,1.02,39412964
12723134,2021-06-28 14:48:31,1.0488,185744791,1.0423,53514775,1.0183,29180057,1.0203,38288640
12729493,2021-06-29 14:31:07,1.0489,183808123,1.0423,53092466,1.0183,18538355,1.0204,37820304
12735852,2021-06-30 14:19:33,1.0497,176618059,1.0431,53217492,1.019,17493661,1.0207,36804302
12742211,2021-07-01 14:02:54,1.0499,181552889,1.0435,65127027,1.019,16572415,1.0213,32301019
12748570,2021-07-02 13:51:17,1.0504,181418312,1.0438,65967755,1.0195,15845861,1.0214,32186607
12754929,2021-07-03 13:41:02,1.0508,180568706,1.0441,65934558,1.0195,15743422,1.0215,29864406
12761288,2021-07-04 13:28:30,1.0509,180022250,1.0441,65090746,1.0198,15548424,1.0215,29574080
12767647,2021-07-05 13:03:40,1.0513,180564422,1.0446,65859469,1.0198,15552075,1.0218,29191235
12774006,2021-07-06 12:53:26,1.0517,180279420,1.0447,64926213,1.0202,15303964,1.0218,27002803
12780365,2021-07-07 12:46:25,1.0523,181142375,1.0451,67466413,1.0202,15305290,1.0221,27022320
12786724,2021-07-08 12:34:06,1.0524,178906898,1.0453,68780737,1.0205,15254159,1.0221,26436372
12793083,2021-07-09 12:13:12,1.0528,178823397,1.0456,69877615,1.0205,15161614,1.0225,24407754
12799442,2021-07-10 11:46:06,1.053,178968307,1.0456,69816876,1.0208,15046990,1.0225,24358450
12805801,2021-07-11 11:43:32,1.0532,177906294,1.0461,69847359,1.0208,15021086,1.0229,24371595
12812160,2021-07-12 11:21:05,1.0536,186919869,1.0461,69823894,1.0212,11646016,1.0229,24367730
12818519,2021-07-13 11:30:12,1.0539,190181266,1.0467,72682247,1.0212,11628847,1.0234,23949771